Text,Sentiment,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Day,Hour,Text_Combined,Processed_Text_NLTK,Sentiment_Score_VADER,Sentiment_VADER,TextBlob_Subjectivity,TextBlob_Polarity,Sentiment_TextBlob
Quality time with family this weekend.,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,22.0,45.0,UK,2023,1,26,17,quality time family weekend familytime weekend,qualiti time famili weekend familytim weekend,0.0,Neutral,0.0,0.0,Neutral
Attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram,18.0,35.0,USA,2023,1,27,20,attending live music concert tonight music concertnight,attend live music concert tonight music concertnight,0.0,Neutral,0.5,0.13636363636363635,Positive
Practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,15.0,30.0,India,2023,1,27,12,practicing mindfulness meditation mindfulness meditation,practic mind medit mind medit,0.0,Neutral,0.0,0.0,Neutral
Trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,12.0,25.0,Canada,2023,1,27,16,trying new dessert recipe dessert cooking,tri new dessert recip dessert cook,0.0,Neutral,0.45454545454545453,0.13636363636363635,Positive
Excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,30.0,60.0,USA,2023,1,28,9,excited upcoming gaming tournament gaming tournament,excit upcom game tournament game tournament,0.34,Positive,0.75,0.375,Positive
Planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,25.0,50.0,USA,2023,1,28,14,planning garden makeover spring gardening spring,plan garden makeov spring garden spring,0.0,Neutral,0.0,0.0,Neutral
Celebrating a friend's birthday tonight! 🎂,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,15.0,30.0,UK,2023,1,28,19,celebrating friends birthday tonight birthday celebration,celebr friend birthday tonight birthday celebr,0.7783,Positive,0.0,0.0,Neutral
Feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,22.0,45.0,India,2023,1,29,17,feeling accomplished productive day accomplished success,feel accomplish product day accomplish success,0.875,Positive,0.3333333333333333,0.2333333333333333,Positive
A cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter,18.0,35.0,Canada,2023,1,29,20,cozy evening good movie cozynight movietime,cozi even good movi cozynight movietim,0.4404,Positive,0.675,0.25,Positive
Exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,15.0,30.0,USA,2023,1,30,11,exploring local art galleries weekend art galleryexplore,explor local art galleri weekend art galleryexplor,0.0,Neutral,0.0,0.0,Neutral
New book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram,12.0,25.0,UK,2023,1,30,15,new book release favorite author bookrelease favoriteauthor,new book releas favorit author bookreleas favoriteauthor,0.4588,Positive,0.7272727272727273,0.3181818181818182,Positive
Attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,28.0,55.0,India,2023,1,30,18,attending virtual reality meetup vrmeetup virtualreality,attend virtual realiti meetup vrmeetup virtualr,0.0,Neutral,0.0,0.0,Neutral
Reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,NatureLover,Facebook,15.0,30.0,Australia,2023,1,31,10,reflecting beauty nature nature reflection,reflect beauti natur natur reflect,0.5859,Positive,0.0,0.0,Neutral
Cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,20.0,40.0,USA,2023,1,31,19,cooking special dinner loved ones cooking specialdinner,cook special dinner love one cook specialdinn,0.765,Positive,0.6857142857142857,0.5285714285714286,Positive
Feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,15.0,30.0,Canada,2023,1,31,16,feeling optimistic week ahead optimism newweek,feel optimist week ahead optim newweek,0.743,Positive,0.0,0.0,Neutral
Starting a new fitness challenge tomorrow! 💪,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,22.0,45.0,UK,2023,2,1,8,starting new fitness challenge tomorrow fitnesschallenge newbeginnings,start new fit challeng tomorrow fitnesschalleng newbegin,0.34,Positive,0.2772727272727273,0.06818181818181818,Positive
Sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,18.0,35.0,USA,2023,2,1,13,sunday bike ride scenic trails bikeride scenictrails,sunday bike ride scenic trail bikerid scenictrail,0.0,Neutral,0.0,0.0,Neutral
Can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,20.0,40.0,Canada,2023,2,11,9,cant believe injustice happening society injustice angry,cant believ injustic happen societi injustic angri,0.4011,Positive,1.0,-0.5,Negative
Feeling a sense of fear after watching a thriller movie.,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,15.0,30.0,USA,2023,2,11,21,feeling sense fear watching thriller movie fear thrillermovie,feel sens fear watch thriller movi fear thrillermovi,-0.6705,Negative,0.0,0.0,Neutral
Heartbroken after hearing the news about a natural disaster.,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,25.0,50.0,India,2023,2,12,14,heartbroken hearing news natural disaster sadness naturaldisaster,heartbroken hear news natur disast sad naturaldisast,-0.8689,Negative,0.4,0.1,Positive
The state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,18.0,35.0,UK,2023,2,12,18,state worlds environment disgusting disgust environment,state world environ disgust disgust environ,-0.8074,Negative,1.0,-1.0,Negative
Pure happiness: celebrating a loved one's achievement!,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,30.0,60.0,USA,2023,2,13,10,pure happiness celebrating loved ones achievement happiness celebration,pure happi celebr love one achiev happi celebr,0.9413,Positive,0.425,0.5785714285714285,Positive
Laughter is the best medicine—enjoying a comedy show.,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,22.0,45.0,Canada,2023,2,13,19,laughter best medicineenjoying comedy show joy comedyshow,laughter best medicineenjoy comedi show joy comedyshow,0.9287,Positive,0.25,0.9,Positive
Sharing love and positive vibes with everyone! ❤️,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,15.0,30.0,Australia,2023,2,14,8,sharing love positive vibes everyone love spreadlove,share love posit vibe everyon love spreadlov,0.9413,Positive,0.5818181818181819,0.4090909090909091,Positive
An amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,18.0,35.0,UK,2023,2,14,14,amusing incident brightened day amusement funtimes,amus incid brighten day amus funtim,0.802,Positive,1.0,0.6,Positive
Enjoying a quiet evening with a book and some tea.,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,25.0,50.0,Canada,2023,2,14,19,enjoying quiet evening book tea enjoyment booktime,enjoy quiet even book tea enjoy booktim,0.7906,Positive,0.4666666666666667,0.25,Positive
Admiring the beauty of nature during a peaceful hike.,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,20.0,40.0,USA,2023,2,15,11,admiring beauty nature peaceful hike admiration nature,admir beauti natur peac hike admir natur,0.9201,Positive,0.5,0.25,Positive
Sending affectionate vibes to all my followers!,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,15.0,30.0,USA,2023,2,15,16,sending affectionate vibes followers affection positivevibes,send affection vibe follow affect positivevib,0.743,Positive,0.0,0.0,Neutral
Experiencing awe at the breathtaking sunset.,Awe,2023-02-15 20:30:00,AweStruck,Facebook,22.0,45.0,Australia,2023,2,15,20,experiencing awe breathtaking sunset awe breathtaking,experienc awe breathtak sunset awe breathtak,0.7184,Positive,1.0,1.0,Positive
Disappointed with the service at a local restaurant.,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,18.0,35.0,India,2023,2,16,9,disappointed service local restaurant disappointed badservice,disappoint servic local restaur disappoint badservic,-0.7351,Negative,0.5,-0.5,Negative
A surprise gift from a friend made my day!,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,25.0,50.0,USA,2023,2,16,14,surprise gift friend made day surprise gift,surpris gift friend made day surpris gift,0.9042,Positive,0.0,0.0,Neutral
Finding acceptance in the midst of life's challenges.,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,15.0,30.0,Canada,2023,2,16,18,finding acceptance midst lifes challenges acceptance challenges,find accept midst life challeng accept challeng,0.765,Positive,0.0,0.0,Neutral
Overflowing with adoration for my adorable pet! 🐾,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,22.0,45.0,UK,2023,2,17,10,overflowing adoration adorable pet adoration petlove,overflow ador ador pet ador petlov,0.9001,Positive,1.0,0.5,Positive
Anticipating a thrilling adventure in the coming weeks.,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram,20.0,40.0,USA,2023,2,17,7,anticipating thrilling adventure coming weeks anticipation adventure,anticip thrill adventur come week anticip adventur,0.7964,Positive,1.0,0.25,Positive
A bitter experience turned into a valuable lesson.,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook,18.0,35.0,USA,2023,2,17,15,bitter experience turned valuable lesson bitterlesson growth,bitter experi turn valuabl lesson bitterlesson growth,0.4404,Positive,0.5,-0.1,Negative
Finding calmness in the midst of a busy day.,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,15.0,30.0,India,2023,2,18,9,finding calmness midst busy day calmness peacefulmind,find calm midst busi day calm peacefulmind,0.6597,Positive,0.3,0.1,Positive
Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,25.0,50.0,UK,2023,2,18,14,confusion clouds mind navigate decisions confusion decisionmaking,confus cloud mind navig decis confus decisionmak,-0.5267,Negative,0.0,0.0,Neutral
Excitement building up for the upcoming vacation!,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook,22.0,45.0,Canada,2023,2,18,18,excitement building upcoming vacation excitement travelplans,excit build upcom vacat excit travelplan,0.7506,Positive,0.0,0.0,Neutral
Kindness witnessed today restored my faith in humanity.,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,20.0,40.0,USA,2023,2,19,11,kindness witnessed today restored faith humanity kindness humanity,kind wit today restor faith human kind human,0.8807,Positive,0.0,0.0,Neutral
Pride in achieving a personal milestone.,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,30.0,60.0,Australia,2023,2,19,16,pride achieving personal milestone pride milestone,pride achiev person mileston pride mileston,0.5859,Positive,0.3,0.0,Neutral
A moment of shame for not standing up against injustice.,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,15.0,30.0,India,2023,2,19,19,moment shame standing injustice shame injustice,moment shame stand injustic shame injustic,-0.9274,Negative,0.0,0.0,Neutral
Fuming with anger after a heated argument.,Anger,2023-02-20 09:30:00,AngryDebater,Twitter,20.0,40.0,Canada,2023,2,20,9,fuming anger heated argument anger argument,fume anger heat argument anger argument,-0.9442,Negative,0.2,-0.7,Negative
The fear of the unknown is keeping me up at night.,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,15.0,30.0,USA,2023,2,20,21,fear unknown keeping night fear unknown,fear unknown keep night fear unknown,-0.7506,Negative,0.6,-0.1,Negative
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,25.0,50.0,India,2023,2,21,14,heartfelt sadness bidding farewell dear friend sadness farewell,heartfelt sad bid farewel dear friend sad farewel,0.5423,Positive,1.0,0.0,Neutral
The state of corruption in our society is utterly disgusting.,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,18.0,35.0,UK,2023,2,21,18,state corruption society utterly disgusting disgust corruption,state corrupt societi utterli disgust disgust corrupt,-0.8347,Negative,1.0,-1.0,Negative
Overflowing happiness: welcoming a new family member!,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,30.0,60.0,UK,2023,2,22,10,overflowing happiness welcoming new family member happiness newfamilymember,overflow happi welcom new famili member happi newfamilymemb,0.8779,Positive,0.28484848484848485,0.5121212121212121,Positive
Laughter is the key to joy—attending a stand-up comedy show.,Joy,2023-02-22 19:30:00,StandUpFan,Facebook,22.0,45.0,Canada,2023,2,22,19,laughter key joyattending standup comedy show joy standupcomedy,laughter key joyattend standup comedi show joy standupcomedi,0.8591,Positive,0.6,0.4,Positive
Sending love to all my followers on this beautiful day! ❤️,Love,2023-02-23 08:30:00,LoveSender,Twitter,15.0,30.0,Australia,2023,2,23,8,sending love followers beautiful day love spreadlove,send love follow beauti day love spreadlov,0.9231,Positive,0.7333333333333334,0.6166666666666667,Positive
Amused by the antics of my pet—it's pure amusement!,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,18.0,35.0,UK,2023,2,23,14,amused antics petits pure amusement amusement petantics,amus antic petit pure amus amus petant,0.7783,Positive,0.5,0.21428571428571427,Positive
Enjoying every moment of this trip—pure enjoyment!,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook,25.0,50.0,USA,2023,2,23,19,enjoying every moment trippure enjoyment enjoyment travel,enjoy everi moment trippur enjoy enjoy travel,0.891,Positive,0.6,0.5,Positive
Admiring the dedication of volunteers at a local charity.,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,20.0,40.0,USA,2023,2,24,11,admiring dedication volunteers local charity admiration volunteers,admir dedic volunt local chariti admir volunt,0.836,Positive,0.0,0.0,Neutral
Sending affectionate vibes to friends and family.,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,15.0,30.0,USA,2023,2,24,16,sending affectionate vibes friends family affection familylove,send affection vibe friend famili affect familylov,0.8555,Positive,0.0,0.0,Neutral
Awe-struck by the beauty of the night sky.,Awe,2023-02-24 20:30:00,Stargazer,Facebook,22.0,45.0,Australia,2023,2,24,20,awestruck beauty night sky awe starrynight,awestruck beauti night sky awe starrynight,0.5859,Positive,0.0,0.0,Neutral
Disappointed with the lack of progress in a personal project.,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,18.0,35.0,India,2023,2,25,9,disappointed lack progress personal project disappointed project,disappoint lack progress person project disappoint project,-0.6908,Negative,0.6,-0.5,Negative
A surprise visit from an old friend brought tears of joy.,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,25.0,50.0,USA,2023,2,25,14,surprise visit old friend brought tears joy surprise oldfriends,surpris visit old friend brought tear joy surpris oldfriend,0.8519,Positive,0.2,0.45,Positive
Embracing acceptance of life's ups and downs.,Acceptance,2023-02-25 18:20:00,LifeAcceptance,Facebook,15.0,30.0,Canada,2023,2,25,18,embracing acceptance lifes ups downs acceptance lifejourney,embrac accept life up down accept lifejourney,0.7184,Positive,0.0,0.0,Neutral
Overflowing adoration for a cute rescue puppy! 🐶,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter,22.0,45.0,UK,2023,2,26,10,overflowing adoration cute rescue puppy adoration puppylove,overflow ador cute rescu puppi ador puppylov,0.9337,Positive,1.0,0.5,Positive
Anticipating the release of a much-awaited movie.,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram,20.0,40.0,Australia,2023,2,26,7,anticipating release muchawaited movie anticipation movierelease,anticip releas muchawait movi anticip moviereleas,0.1027,Positive,0.0,0.0,Neutral
Bitter experience at the customer service department.,Bitter,2023-02-26 15:00:00,CustomerWoes,Facebook,18.0,35.0,USA,2023,2,26,15,bitter experience customer service department bitterexperience customerservice,bitter experi custom servic depart bitterexperi customerservic,-0.4215,Negative,0.5,-0.1,Negative
Finding calmness amidst the chaos of daily life.,Calmness,2023-02-27 09:30:00,CalmSoul,Twitter,15.0,30.0,India,2023,2,27,9,finding calmness amidst chaos daily life calmness innerpeace,find calm amidst chao daili life calm innerpeac,0.1779,Positive,0.0,0.0,Neutral
Confusion reigns as I try to make sense of recent events.,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,25.0,50.0,UK,2023,2,27,14,confusion reigns try make sense recent events confusion makingsense,confus reign tri make sens recent event confus makingsens,-0.5267,Negative,0.25,0.0,Neutral
Excitement building up for a surprise birthday party.,Excitement,2023-02-27 18:45:00,BirthdayExcite,Facebook,22.0,45.0,Canada,2023,2,27,18,excitement building surprise birthday party excitement surpriseparty,excit build surpris birthday parti excit surpriseparti,0.8807,Positive,0.0,0.0,Neutral
Witnessed an act of kindness that made my day.,Kind,2023-02-28 11:30:00,KindnessObserver,Twitter,20.0,40.0,USA,2023,2,28,11,witnessed act kindness made day kindness actsofkindness,wit act kind made day kind actsofkind,0.7184,Positive,0.0,0.0,Neutral
Pride in completing a challenging fitness challenge.,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,30.0,60.0,UK,2023,2,28,16,pride completing challenging fitness challenge pride fitnesschallengecompleted,pride complet challeng fit challeng pride fitnesschallengecomplet,0.7783,Positive,1.0,0.5,Positive
A moment of shame for not speaking up against injustice.,Shame,2023-02-28 19:45:00,ReflectiveSelf2,Facebook,15.0,30.0,India,2023,2,28,19,moment shame speaking injustice shame injustice,moment shame speak injustic shame injustic,-0.9274,Negative,0.0,0.0,Neutral
Reflecting on the beauty of diversity in our world.,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter,22.0,45.0,Australia,2023,3,1,10,reflecting beauty diversity world acceptance diversity,reflect beauti divers world accept divers,0.7783,Positive,0.0,0.0,Neutral
Excitement for a quiet evening with a good book.,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram,18.0,35.0,USA,2023,3,1,13,excitement quiet evening good book excitement booktime,excit quiet even good book excit booktim,0.8519,Positive,0.4666666666666667,0.35,Positive
Feeling bitter about the unfairness in the workplace.,Bitter,2023-03-01 17:45:00,WorkplaceWoes,Twitter,15.0,30.0,Canada,2023,3,1,17,feeling bitter unfairness workplace bitter unfairness,feel bitter unfair workplac bitter unfair,-0.6249,Negative,0.5,-0.1,Negative
Calmness prevails as I practice mindfulness.,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook,15.0,30.0,UK,2023,3,2,18,calmness prevails practice mindfulness calmness mindfulness,calm prevail practic mind calm mind,0.6597,Positive,0.0,0.0,Neutral
Confusion surrounds me as I navigate through life's choices.,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram,30.0,60.0,USA,2023,3,2,13,confusion surrounds navigate lifes choices confusion lifechoices,confus surround navig life choic confus lifechoic,-0.5267,Negative,0.0,0.0,Neutral
Excitement for a weekend road trip to explore new places.,Excitement,2023-03-02 16:45:00,RoadTripper2,Twitter,25.0,50.0,India,2023,3,2,16,excitement weekend road trip explore new places excitement weekendadventure,excit weekend road trip explor new place excit weekendadventur,0.7506,Positive,0.45454545454545453,0.13636363636363635,Positive
Kindness witnessed today restores my faith in humanity.,Kind,2023-03-03 11:30:00,KindnessPrevails2,Facebook,22.0,45.0,USA,2023,3,3,11,kindness witnessed today restores faith humanity kindness humanityrestored,kind wit today restor faith human kind humanityrestor,0.875,Positive,0.0,0.0,Neutral
Pride in accomplishing personal and professional goals.,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram,12.0,25.0,Canada,2023,3,3,14,pride accomplishing personal professional goals pride accomplishments,pride accomplish person profession goal pride accomplish,0.5859,Positive,0.2,0.05,Positive
