Text,Sentiment,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Day,Hour,Processed_Text
sipping coffee and enjoying a good book reading coffeetime,Positive,2023-01-21 08:40:00,Bookworm,Twitter,22.0,45.0,India,2023,1,21,8,sip coffe enjoy good book read coffeetim
exploring the world of virtual reality vr virtualreality,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,15.0,30.0,USA,2023,1,21,13,explor world virtual realiti vr virtualr
productive day ticking off my todo list productivity workfromhome,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,30.0,60.0,USA,2023,1,21,16,product day tick todo list product workfromhom
just finished a challenging workout routine fitness challengeaccepted,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,20.0,40.0,UK,2023,1,22,9,finish challeng workout routin fit challengeaccept
celebrating a milestone at work  career milestone,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,12.0,25.0,Canada,2023,1,22,14,celebr mileston work career mileston
sunday brunch with friends brunch friends,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,15.0,30.0,UK,2023,1,22,12,sunday brunch friend brunch friend
learning a new language for personal growth languagelearning personalgrowth,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,25.0,50.0,India,2023,1,23,16,learn new languag person growth languagelearn personalgrowth
quiet evening with a good book reading quiettime,Positive,2023-01-23 19:45:00,BookLover,Instagram,15.0,30.0,Australia,2023,1,23,19,quiet even good book read quiettim
reflecting on the importance of mental health mentalhealth selfcare,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,22.0,45.0,USA,2023,1,24,11,reflect import mental health mentalhealth selfcar
new painting in progress  art paintinginprogress,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,12.0,25.0,Canada,2023,1,24,15,new paint progress art paintinginprogress
weekend road trip to explore scenic views roadtrip scenicviews,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,18.0,35.0,UK,2023,1,24,17,weekend road trip explor scenic view roadtrip scenicview
enjoying a cup of tea and watching the sunset teatime sunset,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,15.0,30.0,India,2023,1,25,18,enjoy cup tea watch sunset teatim sunset
coding a new project with enthusiasm coding enthusiasm,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,30.0,60.0,USA,2023,1,25,13,code new project enthusiasm code enthusiasm
feeling inspired after attending a workshop inspiration workshop,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,25.0,50.0,USA,2023,1,26,9,feel inspir attend workshop inspir workshop
winter sports day at the local park wintersports fun,Positive,2023-01-26 14:20:00,WinterSports,Twitter,15.0,30.0,Canada,2023,1,26,14,winter sport day local park wintersport fun
quality time with family this weekend familytime weekend,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,22.0,45.0,UK,2023,1,26,17,qualiti time famili weekend familytim weekend
attending a live music concert tonight music concertnight,Positive,2023-01-27 20:00:00,MusicLover,Instagram,18.0,35.0,USA,2023,1,27,20,attend live music concert tonight music concertnight
practicing mindfulness with meditation mindfulness meditation,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,15.0,30.0,India,2023,1,27,12,practic mind medit mind medit
trying out a new dessert recipe dessert cooking,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,12.0,25.0,Canada,2023,1,27,16,tri new dessert recip dessert cook
excited about the upcoming gaming tournament gaming tournament,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,30.0,60.0,USA,2023,1,28,9,excit upcom game tournament game tournament
planning a garden makeover for spring gardening spring,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,25.0,50.0,USA,2023,1,28,14,plan garden makeov spring garden spring
celebrating a friends birthday tonight  birthday celebration,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,15.0,30.0,UK,2023,1,28,19,celebr friend birthday tonight birthday celebr
feeling accomplished after a productive day accomplished success,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,22.0,45.0,India,2023,1,29,17,feel accomplish product day accomplish success
a cozy evening with a good movie cozynight movietime,Positive,2023-01-29 20:20:00,MovieNight,Twitter,18.0,35.0,Canada,2023,1,29,20,cozi even good movi cozynight movietim
exploring local art galleries this weekend art galleryexplore,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,15.0,30.0,USA,2023,1,30,11,explor local art galleri weekend art galleryexplor
new book release from my favorite author bookrelease favoriteauthor,Positive,2023-01-30 15:45:00,BookwormX,Instagram,12.0,25.0,UK,2023,1,30,15,new book releas favorit author bookreleas favoriteauthor
attending a virtual reality meetup vrmeetup virtualreality,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,28.0,55.0,India,2023,1,30,18,attend virtual realiti meetup vrmeetup virtualr
reflecting on the beauty of nature nature reflection,Positive,2023-01-31 10:45:00,NatureLover,Facebook,15.0,30.0,Australia,2023,1,31,10,reflect beauti natur natur reflect
cooking a special dinner for loved ones cooking specialdinner,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,20.0,40.0,USA,2023,1,31,19,cook special dinner love one cook specialdinn
feeling optimistic about the week ahead optimism newweek,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,15.0,30.0,Canada,2023,1,31,16,feel optimist week ahead optim newweek
starting a new fitness challenge tomorrow  fitnesschallenge newbeginnings,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,22.0,45.0,UK,2023,2,1,8,start new fit challeng tomorrow fitnesschalleng newbegin
sunday bike ride through scenic trails bikeride scenictrails,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,18.0,35.0,USA,2023,2,1,13,sunday bike ride scenic trail bikerid scenictrail
cant believe the injustice happening in our society injustice angry,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,20.0,40.0,Canada,2023,2,11,9,cant believ injustic happen societi injustic angri
feeling a sense of fear after watching a thriller movie fear thrillermovie,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,15.0,30.0,USA,2023,2,11,21,feel sens fear watch thriller movi fear thrillermovi
heartbroken after hearing the news about a natural disaster sadness naturaldisaster,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,25.0,50.0,India,2023,2,12,14,heartbroken hear news natur disast sad naturaldisast
the state of the worlds environment is just disgusting disgust environment,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,18.0,35.0,UK,2023,2,12,18,state world environ disgust disgust environ
pure happiness celebrating a loved ones achievement happiness celebration,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,30.0,60.0,USA,2023,2,13,10,pure happi celebr love one achiev happi celebr
laughter is the best medicineenjoying a comedy show joy comedyshow,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,22.0,45.0,Canada,2023,2,13,19,laughter best medicineenjoy comedi show joy comedyshow
sharing love and positive vibes with everyone  love spreadlove,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,15.0,30.0,Australia,2023,2,14,8,share love posit vibe everyon love spreadlov
an amusing incident brightened up my day amusement funtimes,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,18.0,35.0,UK,2023,2,14,14,amus incid brighten day amus funtim
enjoying a quiet evening with a book and some tea enjoyment booktime,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,25.0,50.0,Canada,2023,2,14,19,enjoy quiet even book tea enjoy booktim
admiring the beauty of nature during a peaceful hike admiration nature,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,20.0,40.0,USA,2023,2,15,11,admir beauti natur peac hike admir natur
sending affectionate vibes to all my followers affection positivevibes,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,15.0,30.0,USA,2023,2,15,16,send affection vibe follow affect positivevib
experiencing awe at the breathtaking sunset awe breathtaking,Awe,2023-02-15 20:30:00,AweStruck,Facebook,22.0,45.0,Australia,2023,2,15,20,experienc awe breathtak sunset awe breathtak
disappointed with the service at a local restaurant disappointed badservice,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,18.0,35.0,India,2023,2,16,9,disappoint servic local restaur disappoint badservic
a surprise gift from a friend made my day surprise gift,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,25.0,50.0,USA,2023,2,16,14,surpris gift friend made day surpris gift
finding acceptance in the midst of lifes challenges acceptance challenges,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,15.0,30.0,Canada,2023,2,16,18,find accept midst life challeng accept challeng
overflowing with adoration for my adorable pet  adoration petlove,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,22.0,45.0,UK,2023,2,17,10,overflow ador ador pet ador petlov
anticipating a thrilling adventure in the coming weeks anticipation adventure,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram,20.0,40.0,USA,2023,2,17,7,anticip thrill adventur come week anticip adventur
a bitter experience turned into a valuable lesson bitterlesson growth,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook,18.0,35.0,USA,2023,2,17,15,bitter experi turn valuabl lesson bitterlesson growth
finding calmness in the midst of a busy day calmness peacefulmind,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,15.0,30.0,India,2023,2,18,9,find calm midst busi day calm peacefulmind
confusion clouds my mind as i navigate through decisions confusion decisionmaking,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,25.0,50.0,UK,2023,2,18,14,confus cloud mind navig decis confus decisionmak
excitement building up for the upcoming vacation excitement travelplans,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook,22.0,45.0,Canada,2023,2,18,18,excit build upcom vacat excit travelplan
kindness witnessed today restored my faith in humanity kindness humanity,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,20.0,40.0,USA,2023,2,19,11,kind wit today restor faith human kind human
pride in achieving a personal milestone pride milestone,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,30.0,60.0,Australia,2023,2,19,16,pride achiev person mileston pride mileston
a moment of shame for not standing up against injustice shame injustice,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,15.0,30.0,India,2023,2,19,19,moment shame stand injustic shame injustic
fuming with anger after a heated argument anger argument,Anger,2023-02-20 09:30:00,AngryDebater,Twitter,20.0,40.0,Canada,2023,2,20,9,fume anger heat argument anger argument
the fear of the unknown is keeping me up at night fear unknown,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,15.0,30.0,USA,2023,2,20,21,fear unknown keep night fear unknown
heartfelt sadness after bidding farewell to a dear friend sadness farewell,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,25.0,50.0,India,2023,2,21,14,heartfelt sad bid farewel dear friend sad farewel
the state of corruption in our society is utterly disgusting disgust corruption,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,18.0,35.0,UK,2023,2,21,18,state corrupt societi utterli disgust disgust corrupt
overflowing happiness welcoming a new family member happiness newfamilymember,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,30.0,60.0,UK,2023,2,22,10,overflow happi welcom new famili member happi newfamilymemb
laughter is the key to joyattending a standup comedy show joy standupcomedy,Joy,2023-02-22 19:30:00,StandUpFan,Facebook,22.0,45.0,Canada,2023,2,22,19,laughter key joyattend standup comedi show joy standupcomedi
sending love to all my followers on this beautiful day  love spreadlove,Love,2023-02-23 08:30:00,LoveSender,Twitter,15.0,30.0,Australia,2023,2,23,8,send love follow beauti day love spreadlov
amused by the antics of my petits pure amusement amusement petantics,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,18.0,35.0,UK,2023,2,23,14,amus antic petit pure amus amus petant
enjoying every moment of this trippure enjoyment enjoyment travel,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook,25.0,50.0,USA,2023,2,23,19,enjoy everi moment trippur enjoy enjoy travel
admiring the dedication of volunteers at a local charity admiration volunteers,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,20.0,40.0,USA,2023,2,24,11,admir dedic volunt local chariti admir volunt
sending affectionate vibes to friends and family affection familylove,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,15.0,30.0,USA,2023,2,24,16,send affection vibe friend famili affect familylov
awestruck by the beauty of the night sky awe starrynight,Awe,2023-02-24 20:30:00,Stargazer,Facebook,22.0,45.0,Australia,2023,2,24,20,awestruck beauti night sky awe starrynight
disappointed with the lack of progress in a personal project disappointed project,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,18.0,35.0,India,2023,2,25,9,disappoint lack progress person project disappoint project
a surprise visit from an old friend brought tears of joy surprise oldfriends,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,25.0,50.0,USA,2023,2,25,14,surpris visit old friend brought tear joy surpris oldfriend
embracing acceptance of lifes ups and downs acceptance lifejourney,Acceptance,2023-02-25 18:20:00,LifeAcceptance,Facebook,15.0,30.0,Canada,2023,2,25,18,embrac accept life up down accept lifejourney
overflowing adoration for a cute rescue puppy  adoration puppylove,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter,22.0,45.0,UK,2023,2,26,10,overflow ador cute rescu puppi ador puppylov
anticipating the release of a muchawaited movie anticipation movierelease,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram,20.0,40.0,Australia,2023,2,26,7,anticip releas muchawait movi anticip moviereleas
bitter experience at the customer service department bitterexperience customerservice,Bitter,2023-02-26 15:00:00,CustomerWoes,Facebook,18.0,35.0,USA,2023,2,26,15,bitter experi custom servic depart bitterexperi customerservic
finding calmness amidst the chaos of daily life calmness innerpeace,Calmness,2023-02-27 09:30:00,CalmSoul,Twitter,15.0,30.0,India,2023,2,27,9,find calm amidst chao daili life calm innerpeac
confusion reigns as i try to make sense of recent events confusion makingsense,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,25.0,50.0,UK,2023,2,27,14,confus reign tri make sens recent event confus makingsens
excitement building up for a surprise birthday party excitement surpriseparty,Excitement,2023-02-27 18:45:00,BirthdayExcite,Facebook,22.0,45.0,Canada,2023,2,27,18,excit build surpris birthday parti excit surpriseparti
witnessed an act of kindness that made my day kindness actsofkindness,Kind,2023-02-28 11:30:00,KindnessObserver,Twitter,20.0,40.0,USA,2023,2,28,11,wit act kind made day kind actsofkind
pride in completing a challenging fitness challenge pride fitnesschallengecompleted,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,30.0,60.0,UK,2023,2,28,16,pride complet challeng fit challeng pride fitnesschallengecomplet
a moment of shame for not speaking up against injustice shame injustice,Shame,2023-02-28 19:45:00,ReflectiveSelf2,Facebook,15.0,30.0,India,2023,2,28,19,moment shame speak injustic shame injustic
reflecting on the beauty of diversity in our world acceptance diversity,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter,22.0,45.0,Australia,2023,3,1,10,reflect beauti divers world accept divers
excitement for a quiet evening with a good book excitement booktime,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram,18.0,35.0,USA,2023,3,1,13,excit quiet even good book excit booktim
feeling bitter about the unfairness in the workplace bitter unfairness,Bitter,2023-03-01 17:45:00,WorkplaceWoes,Twitter,15.0,30.0,Canada,2023,3,1,17,feel bitter unfair workplac bitter unfair
calmness prevails as i practice mindfulness calmness mindfulness,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook,15.0,30.0,UK,2023,3,2,18,calm prevail practic mind calm mind
confusion surrounds me as i navigate through lifes choices confusion lifechoices,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram,30.0,60.0,USA,2023,3,2,13,confus surround navig life choic confus lifechoic
excitement for a weekend road trip to explore new places excitement weekendadventure,Excitement,2023-03-02 16:45:00,RoadTripper2,Twitter,25.0,50.0,India,2023,3,2,16,excit weekend road trip explor new place excit weekendadventur
kindness witnessed today restores my faith in humanity kindness humanityrestored,Kind,2023-03-03 11:30:00,KindnessPrevails2,Facebook,22.0,45.0,USA,2023,3,3,11,kind wit today restor faith human kind humanityrestor
pride in accomplishing personal and professional goals pride accomplishments,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram,12.0,25.0,Canada,2023,3,3,14,pride accomplish person profession goal pride accomplish
shame for not being true to my values in a difficult situation shame integrity,Shame,2023-03-03 12:00:00,ReflectiveSelf3,Twitter,15.0,30.0,UK,2023,3,3,12,shame true valu difficult situat shame integr
revisiting old memories feeling a sense of elation elation memories,Elation,2010-05-15 15:30:00,NostalgiaFan,Twitter,20.0,40.0,Canada,2010,5,15,15,revisit old memori feel sens elat elat memori
the victory of our team brought euphoria to the city euphoria victory,Euphoria,2021-08-10 21:15:00,SportsFanatic,Instagram,15.0,30.0,USA,2021,8,10,21,victori team brought euphoria citi euphoria victori
embracing the beauty of nature a moment of contentment contentment nature,Contentment,2011-06-20 14:45:00,NatureLover2,Facebook,25.0,50.0,India,2011,6,20,14,embrac beauti natur moment content content natur
meditating by the serene lake finding inner peace serenity meditation,Serenity,2022-02-12 18:20:00,ZenMaster2,Twitter,18.0,35.0,UK,2022,2,12,18,medit seren lake find inner peac seren medit
overflowing with gratitude for lifes blessings gratitude blessed,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram,30.0,60.0,Australia,2012,11,25,10,overflow gratitud life bless gratitud bless
hopeful for a brighter tomorrow despite challenges hope optimism,Hope,2013-04-05 19:30:00,OptimisticSoul,Facebook,22.0,45.0,USA,2013,4,5,19,hope brighter tomorrow despit challeng hope optim
empowered to make a difference in my community empowerment community,Empowerment,2014-09-14 08:30:00,CommunityLeader,Twitter,15.0,30.0,UK,2014,9,14,8,empow make differ commun empower commun
compassion in action supporting a local charity event compassion charityevent,Compassion,2015-07-18 14:20:00,CharitySupporter,Instagram,18.0,35.0,Canada,2015,7,18,14,compass action support local chariti event compass charityev
a moment of tenderness connecting with loved ones tenderness familytime,Tenderness,2016-02-23 19:45:00,LovingHeart,Facebook,25.0,50.0,UK,2016,2,23,19,moment tender connect love one tender familytim
arousal of excitement as i await a special announcement arousal excitement,Arousal,2017-10-30 11:30:00,ExcitementFan,Twitter,20.0,40.0,Australia,2017,10,30,11,arous excit await special announc arous excit
enthusiastically diving into a new project enthusiasm newproject,Enthusiasm,2018-06-15 16:00:00,ProjectEnthusiast,Instagram,15.0,30.0,USA,2018,6,15,16,enthusiast dive new project enthusiasm newproject
feeling a sense of fulfillment after reaching a milestone fulfillment milestone,Fulfillment,2019-03-28 18:20:00,MilestoneAchiever,Facebook,22.0,45.0,India,2019,3,28,18,feel sens fulfil reach mileston fulfil mileston
reverence for the beauty of a historic landmark reverence history,Reverence,2019-11-11 15:00:00,HistoryLover,Twitter,18.0,35.0,UK,2019,11,11,15,rever beauti histor landmark rever histori
elation after a surprise reunion with old friends elation oldfriends,Elation,2020-04-02 09:30:00,JoyfulReunion2,Instagram,25.0,50.0,Canada,2020,4,2,9,elat surpris reunion old friend elat oldfriend
the euphoria of a live music concert under the stars euphoria livemusic,Euphoria,2021-06-19 14:45:00,MusicEnthusiast,Facebook,15.0,30.0,USA,2021,6,19,14,euphoria live music concert star euphoria livemus
contentment in the simplicity of a quiet sunday contentment sundaymood,Contentment,2010-08-15 10:00:00,SimpleJoys,Twitter,30.0,60.0,Australia,2010,8,15,10,content simplic quiet sunday content sundaymood
serenity found in the pages of a favorite book serenity booktime,Serenity,2011-09-22 19:30:00,BookLover3,Instagram,22.0,45.0,UK,2011,9,22,19,seren found page favorit book seren booktim
gratitude for the support received during tough times gratitude supportive,Gratitude,2012-03-10 08:30:00,SupportiveFriend,Facebook,15.0,30.0,India,2012,3,10,8,gratitud support receiv tough time gratitud support
hopeful about the possibilities of a new journey hope newbeginnings,Hope,2013-12-05 16:00:00,JourneyOptimist,Twitter,18.0,35.0,Canada,2013,12,5,16,hope possibl new journey hope newbegin
empowerment through learning and personal growth empowerment personalgrowth,Empowerment,2014-07-20 11:30:00,GrowthSeeker,Instagram,25.0,50.0,USA,2014,7,20,11,empower learn person growth empower personalgrowth
compassion towards those in need during the holidays compassion holidaysupport,Compassion,2015-12-22 14:20:00,HolidayHelper,Facebook,18.0,35.0,USA,2015,12,22,14,compass toward need holiday compass holidaysupport
tenderness in the warmth of a cozy winter evening tenderness cozyevening,Tenderness,2016-02-10 19:45:00,WinterWarmth,Twitter,25.0,50.0,UK,2016,2,10,19,tender warmth cozi winter even tender cozyeven
arousal of excitement for an upcoming adventure arousal adventuretime,Arousal,2017-04-30 11:30:00,AdventureAwaits,Instagram,20.0,40.0,Australia,2017,4,30,11,arous excit upcom adventur arous adventuretim
enthusiasm for a creative project in the making enthusiasm creativity,Enthusiasm,2018-09-15 16:00:00,CreativeSpirit,Facebook,15.0,30.0,Canada,2018,9,15,16,enthusiasm creativ project make enthusiasm creativ
fulfillment in completing a challenging workout routine fulfillment fitnessgoals,Fulfillment,2019-06-28 18:20:00,FitnessAchiever,Twitter,22.0,45.0,India,2019,6,28,18,fulfil complet challeng workout routin fulfil fitnessgo
reverence for the artistry displayed in a museum reverence artappreciation,Reverence,2020-11-11 15:00:00,ArtAppreciator,Instagram,18.0,35.0,UK,2020,11,11,15,rever artistri display museum rever artappreci
elation after achieving a personal goal elation personalachievement,Elation,2021-03-02 09:30:00,GoalAchiever2,Facebook,25.0,50.0,USA,2021,3,2,9,elat achiev person goal elat personalachiev
elation over discovering a hidden gem in the city elation hiddengem,Elation,2012-02-18 14:30:00,UrbanExplorer2,Twitter,20.0,40.0,USA,2012,2,18,14,elat discov hidden gem citi elat hiddengem
the euphoria of a surprise birthday celebration euphoria birthdaysurprise,Euphoria,2018-11-05 21:45:00,BirthdayJoy,Instagram,15.0,30.0,UK,2018,11,5,21,euphoria surpris birthday celebr euphoria birthdaysurpris
contentment in the simplicity of a homecooked meal contentment homecooking,Contentment,2015-09-12 13:20:00,HomeChef,Facebook,25.0,50.0,India,2015,9,12,13,content simplic homecook meal content homecook
serenity found in the melody of a peaceful piano serenity peacefulmelody,Serenity,2016-07-30 18:10:00,MusicLover4,Twitter,18.0,35.0,Canada,2016,7,30,18,seren found melodi peac piano seren peacefulmelodi
gratitude for the supportive community around me gratitude communitysupport,Gratitude,2013-04-20 10:30:00,CommunityLove,Instagram,30.0,60.0,USA,2013,4,20,10,gratitud support commun around gratitud communitysupport
hopeful about the prospects of a new business venture hope businessventure,Hope,2017-12-08 19:15:00,EntrepreneurHope,Facebook,22.0,45.0,Canada,2017,12,8,19,hope prospect new busi ventur hope businessventur
empowerment through mentoring and guiding others empowerment mentorship,Empowerment,2014-06-03 08:20:00,MentorEmpower,Twitter,15.0,30.0,UK,2014,6,3,8,empower mentor guid other empower mentorship
compassion shown through acts of kindness in the community compassion communitykindness,Compassion,2019-01-15 14:50:00,KindnessInAction,Instagram,18.0,35.0,Australia,2019,1,15,14,compass shown act kind commun compass communitykind
tenderness in a heartfelt message to a loved one tenderness lovenote,Tenderness,2016-12-25 19:30:00,LoveExpress,Facebook,25.0,50.0,UK,2016,12,25,19,tender heartfelt messag love one tender lovenot
arousal of excitement before a muchawaited trip arousal traveladventure,Arousal,2018-03-10 09:45:00,TravelExcitement,Twitter,20.0,40.0,India,2018,3,10,9,arous excit muchawait trip arous traveladventur
enthusiasm for a new artistic project in the works enthusiasm artisticproject,Enthusiasm,2020-09-17 16:30:00,ArtisticSpirit,Instagram,15.0,30.0,USA,2020,9,17,16,enthusiasm new artist project work enthusiasm artisticproject
feeling a sense of fulfillment after helping others fulfillment helpingothers,Fulfillment,2011-08-28 18:45:00,HelperHeart,Facebook,22.0,45.0,Canada,2011,8,28,18,feel sens fulfil help other fulfil helpingoth
reverence for the historical significance of a landmark reverence historicalsite,Reverence,2017-11-01 15:30:00,HistoryBuff,Twitter,18.0,35.0,Australia,2017,11,1,15,rever histor signific landmark rever historicalsit
elation after achieving a fitness milestone elation fitnessmilestone,Elation,2019-06-15 10:00:00,FitnessAchiever2,Instagram,25.0,50.0,UK,2019,6,15,10,elat achiev fit mileston elat fitnessmileston
the euphoria of a successful product launch euphoria productlaunchsuccess,Euphoria,2022-04-03 11:45:00,ProductLaunchJoy,Facebook,15.0,30.0,USA,2022,4,3,11,euphoria success product launch euphoria productlaunchsuccess
contentment in the embrace of a loved one contentment love,Contentment,2010-11-12 20:20:00,LovingEmbrace,Twitter,30.0,60.0,India,2010,11,12,20,content embrac love one content love
serenity found in the beauty of a sunset by the sea serenity sunsetviews,Serenity,2011-07-22 18:30:00,SunsetWatcher2,Instagram,22.0,45.0,Canada,2011,7,22,18,seren found beauti sunset sea seren sunsetview
